customer_id,signup_date,acquisition_channel
CUST000281,10-01-2025,Paid
CUST000282,12-06-2025,Referral
CUST000284,27-06-2025,Organic
CUST000285,17-02-2025,Paid
CUST000286,21-12-2024,Organic
CUST000289,14-01-2025,Paid
CUST000291,01-01-2025,Organic
CUST000293,26-01-2025,Organic
CUST000295,22-07-2025,Paid
CUST000300,18-06-2025,Paid
CUST000302,22-12-2024,Paid
CUST000305,28-11-2024,Paid
CUST000306,08-03-2025,Organic
CUST000307,13-04-2025,Organic
CUST000308,20-07-2025,Organic
CUST000309,14-03-2025,Organic
CUST000310,29-12-2024,Social
CUST000312,25-07-2025,Paid
CUST000313,25-12-2024,Organic
CUST000314,09-08-2025,Referral
CUST000317,21-03-2025,Organic
CUST000318,29-03-2025,Organic
CUST000319,22-04-2025,Organic
CUST000320,09-01-2025,Organic
CUST000324,16-02-2025,Organic
CUST000325,23-12-2024,Social
CUST000326,10-02-2025,Organic
CUST000328,13-03-2025,Organic
CUST000329,18-03-2025,Organic
CUST000331,28-03-2025,Organic
CUST000332,03-01-2025,Organic
CUST000334,23-02-2025,Organic
CUST000335,27-05-2025,Organic
CUST000337,31-12-2024,Referral
CUST000338,26-06-2025,Paid
CUST000339,28-02-2025,Paid
CUST000342,13-03-2025,Referral
CUST000345,22-01-2025,Referral
CUST000346,28-11-2024,Referral
CUST000348,22-03-2025,Social
CUST000350,31-01-2025,Organic
CUST000351,03-05-2025,Paid
CUST000353,21-12-2024,Organic
CUST000354,30-12-2024,Organic
CUST000356,02-02-2025,Paid
CUST000357,24-05-2025,Organic
CUST000361,07-05-2025,Organic
CUST000363,13-02-2025,Organic
CUST000364,17-01-2025,Organic
CUST000365,20-02-2025,Organic
CUST000366,26-01-2025,Organic
CUST000369,15-04-2025,Paid
CUST000371,24-02-2025,Organic
CUST000373,20-04-2025,Organic
CUST000374,09-06-2025,Paid
CUST000376,03-08-2025,Social
CUST000377,03-03-2025,Social
CUST000386,15-02-2025,Organic
CUST000388,23-02-2025,Referral
CUST000389,06-06-2025,Paid
CUST000391,14-12-2024,Organic
CUST000394,08-01-2025,Organic
CUST000395,13-12-2024,Organic
CUST000396,10-08-2025,Paid
CUST000397,01-03-2025,Referral
CUST000398,03-03-2025,Organic
CUST000399,03-02-2025,Paid
CUST000400,21-12-2024,Referral
CUST000401,25-12-2024,Organic
CUST000402,18-05-2025,Organic
CUST000403,02-08-2025,Paid
CUST000404,02-04-2025,Social
CUST000407,08-01-2025,Paid
CUST000408,21-12-2024,Organic
CUST000409,17-03-2025,Organic
CUST000413,24-03-2025,Referral
CUST000414,21-12-2024,Paid
CUST000418,22-03-2025,Organic
CUST000419,19-12-2024,Referral
CUST000420,04-01-2025,Organic
CUST000421,09-03-2025,Referral
CUST000423,25-01-2025,Organic
CUST000424,18-02-2025,Organic
CUST000425,22-02-2025,Organic
CUST000426,16-06-2025,Paid
CUST000427,18-03-2025,Paid
CUST000428,13-05-2025,Referral
CUST000430,19-01-2025,Referral
CUST000431,29-06-2025,Paid
CUST000432,28-07-2025,Organic
CUST000433,16-03-2025,Social
CUST000434,08-12-2024,Social
CUST000435,04-12-2024,Paid
CUST000437,23-03-2025,Paid
CUST000442,27-03-2025,Organic
CUST000443,02-02-2025,Organic
CUST000445,22-02-2025,Organic
CUST000447,29-08-2025,Paid
CUST000448,19-04-2025,Referral
CUST000451,15-05-2025,Social
CUST000452,09-11-2024,Organic
CUST000453,14-02-2025,Organic
CUST000454,07-12-2024,Social
CUST000455,20-02-2025,Paid
CUST000456,23-04-2025,Organic
CUST000459,17-05-2025,Organic
CUST000461,21-01-2025,Paid
CUST000462,04-12-2024,Referral
CUST000464,24-03-2025,Organic
CUST000465,18-02-2025,Organic
CUST000466,19-02-2025,Organic
CUST000468,20-12-2024,Paid
CUST000469,14-02-2025,Organic
CUST000470,05-02-2025,Paid
CUST000475,15-12-2024,Organic
CUST000479,16-02-2025,Paid
CUST000480,15-02-2025,Paid
CUST000482,10-03-2025,Social
CUST000486,26-03-2025,Organic
CUST000488,23-01-2025,Organic
CUST000490,30-08-2025,Paid
CUST000492,17-12-2024,Referral
CUST000495,27-01-2025,Organic
CUST000499,27-12-2024,Organic
CUST000501,04-02-2025,Referral
CUST000502,07-04-2025,Paid
CUST000504,03-02-2025,Organic
CUST000505,05-01-2025,Organic
CUST000507,22-12-2024,Referral
CUST000509,23-12-2024,Organic
CUST000510,25-02-2025,Referral
CUST000511,31-05-2025,Organic
CUST000515,28-05-2025,Referral
CUST000517,23-02-2025,Organic
CUST000519,07-04-2025,Organic
CUST000520,21-03-2025,Social
CUST000521,08-12-2024,Organic
CUST000522,24-12-2024,Organic
CUST000523,25-11-2024,Organic
CUST000524,04-03-2025,Referral
CUST000525,11-02-2025,Referral
CUST000526,30-12-2024,Paid
CUST000531,30-01-2025,Organic
CUST000536,07-05-2025,Organic
CUST000538,22-02-2025,Organic
CUST000539,19-12-2024,Organic
CUST000540,21-12-2024,Organic
CUST000542,28-01-2025,Organic
CUST000545,21-02-2025,Referral
CUST000546,19-08-2025,Social
CUST000547,17-04-2025,Organic
CUST000549,08-03-2025,Social
CUST000554,02-02-2025,Paid
CUST000558,04-05-2025,Organic
CUST000559,05-04-2025,Organic
CUST000561,03-04-2025,Organic
CUST000563,09-03-2025,Paid
CUST000564,30-03-2025,Organic
CUST000565,11-03-2025,Organic
CUST000566,25-05-2025,Paid
CUST000567,14-04-2025,Referral
CUST000568,07-09-2025,Referral
CUST000569,29-06-2025,Paid
CUST000570,01-01-2025,Paid
CUST000572,06-05-2025,Organic
CUST000574,12-02-2025,Organic
CUST000575,29-12-2024,Organic
CUST000577,22-03-2025,Organic
CUST000578,31-03-2025,Paid
CUST000579,08-02-2025,Referral
CUST000581,28-02-2025,Organic
CUST000584,02-02-2025,Paid
CUST000585,31-01-2025,Organic
CUST000586,19-12-2024,Referral
CUST000587,05-03-2025,Organic
CUST000588,22-07-2025,Paid
CUST000589,04-03-2025,Organic
CUST000590,05-03-2025,Organic
CUST000593,26-12-2024,Organic
CUST000596,08-01-2025,Paid
CUST000598,03-02-2025,Organic
CUST000599,09-06-2025,Organic
CUST000600,23-04-2025,Referral
CUST000602,18-04-2025,Referral
CUST000603,02-01-2025,Paid
CUST000604,12-02-2025,Referral
CUST000606,23-01-2025,Organic
CUST000609,20-04-2025,Paid
CUST000610,15-05-2025,Organic
CUST000611,02-05-2025,Organic
CUST000612,10-04-2025,Paid
CUST000613,23-03-2025,Referral
CUST000615,03-12-2024,Organic
CUST000620,03-12-2024,Organic
CUST000622,12-05-2025,Organic
CUST000623,10-03-2025,Organic
CUST000624,06-06-2025,Paid
CUST000626,26-02-2025,Social
CUST000630,19-12-2024,Organic
CUST000631,10-01-2025,Paid
CUST000635,29-11-2024,Paid
CUST000637,07-01-2025,Organic
CUST000638,09-12-2024,Organic
CUST000641,21-02-2025,Referral
CUST000644,25-02-2025,Organic
CUST000645,18-12-2024,Organic
CUST000648,13-02-2025,Referral
CUST000651,14-09-2025,Paid
CUST000652,30-03-2025,Organic
CUST000655,19-02-2025,Organic
CUST000656,15-04-2025,Paid
CUST000658,01-02-2025,Organic
CUST000660,14-02-2025,Referral
CUST000665,10-11-2024,Referral
CUST000666,19-01-2025,Organic
CUST000667,12-11-2024,Organic
CUST000669,04-08-2025,Paid
CUST000670,13-04-2025,Organic
CUST000672,03-12-2024,Paid
CUST000674,18-11-2024,Paid
CUST000675,15-01-2025,Organic
CUST000676,23-07-2025,Social
CUST000678,05-01-2025,Social
CUST000681,15-04-2025,Social
CUST000682,20-12-2024,Social
CUST000684,27-01-2025,Referral
CUST000685,15-01-2025,Referral
CUST000686,02-04-2025,Social
CUST000687,11-07-2025,Organic
CUST000692,11-12-2024,Organic
CUST000694,27-06-2025,Organic
CUST000695,07-12-2024,Referral
CUST000696,01-05-2025,Organic
CUST000698,21-12-2024,Organic
CUST000699,25-03-2025,Organic
CUST000700,09-07-2025,Referral
CUST000703,23-12-2024,Organic
CUST000704,13-02-2025,Organic
CUST000705,05-01-2025,Organic
CUST000706,01-03-2025,Social
CUST000710,19-01-2025,Organic
CUST000711,26-04-2025,Referral
CUST000712,04-03-2025,Organic
CUST000714,10-05-2025,Organic
CUST000715,27-01-2025,Referral
CUST000716,29-12-2024,Organic
CUST000718,11-04-2025,Referral
CUST000719,09-01-2025,Organic
CUST000720,05-01-2025,Social
CUST000721,17-02-2025,Organic
CUST000722,30-06-2025,Social
CUST000724,23-04-2025,Organic
CUST000727,19-11-2024,Social
CUST000729,20-01-2025,Organic
CUST000733,10-01-2025,Organic
CUST000736,02-01-2025,Paid
CUST000739,22-02-2025,Organic
CUST000741,15-03-2025,Organic
CUST000742,13-12-2024,Organic
CUST000743,27-02-2025,Organic
CUST000744,17-04-2025,Social
CUST000745,07-05-2025,Organic
CUST000747,16-03-2025,Paid
CUST000748,21-12-2024,Organic
CUST000749,12-03-2025,Organic
CUST000750,10-05-2025,Paid
CUST000752,06-08-2025,Paid
CUST000753,15-12-2024,Referral
CUST000754,17-01-2025,Organic
CUST000756,06-07-2025,Paid
CUST000757,19-08-2025,Organic
CUST000758,27-07-2025,Paid
CUST000759,03-06-2025,Paid
CUST000762,19-11-2024,Social
CUST000763,17-01-2025,Organic
CUST000765,08-06-2025,Referral
CUST000767,07-02-2025,Organic
CUST000768,06-06-2025,Paid
CUST000770,06-03-2025,Organic
CUST000771,16-01-2025,Paid
CUST000772,26-03-2025,Referral
CUST000774,04-01-2025,Organic
CUST000777,26-03-2025,Referral
CUST000778,19-03-2025,Organic
CUST000780,27-12-2024,Organic
CUST000781,24-03-2025,Organic
CUST000783,06-04-2025,Organic
CUST000788,23-01-2025,Referral
CUST000789,11-03-2025,Organic
CUST000791,15-03-2025,Organic
CUST000792,19-12-2024,Referral
CUST000793,28-02-2025,Organic
CUST000794,13-03-2025,Organic
CUST000795,09-01-2025,Organic
CUST000797,03-12-2024,Paid
CUST000799,17-01-2025,Organic
CUST000802,23-04-2025,Referral
CUST000804,01-08-2025,Organic
CUST000807,31-08-2025,Paid
CUST000808,18-07-2025,Paid
CUST000809,26-12-2024,Organic
CUST000812,25-01-2025,Paid
CUST000813,09-07-2025,Paid
CUST000814,05-01-2025,Organic
CUST000816,15-12-2024,Referral
CUST000817,19-01-2025,Referral
CUST000820,21-05-2025,Social
CUST000822,02-09-2025,Referral
CUST000826,12-12-2024,Paid
CUST000830,01-01-2025,Organic
CUST000835,24-02-2025,Paid
CUST000836,11-05-2025,Organic
CUST000837,22-01-2025,Social
CUST000841,03-07-2025,Social
CUST000842,27-02-2025,Organic
CUST000844,17-01-2025,Organic
CUST000845,16-12-2024,Organic
CUST000847,05-02-2025,Organic
CUST000850,21-12-2024,Organic
CUST000852,08-03-2025,Organic
CUST000856,24-03-2025,Organic
CUST000857,30-05-2025,Social
CUST000858,07-07-2025,Organic
CUST000862,27-04-2025,Organic
CUST000864,30-01-2025,Referral
CUST000865,24-03-2025,Organic
CUST000866,30-12-2024,Organic
CUST000867,23-02-2025,Organic
CUST000870,16-05-2025,Organic
CUST000871,28-12-2024,Social
CUST000872,18-01-2025,Paid
CUST000874,12-03-2025,Paid
CUST000879,26-12-2024,Organic
CUST000880,24-01-2025,Paid
CUST000881,06-07-2025,Social
CUST000882,01-07-2025,Referral
CUST000884,13-01-2025,Referral
CUST000888,21-08-2025,Social
CUST000889,02-07-2025,Paid
CUST000892,02-01-2025,Social
CUST000893,23-01-2025,Social
CUST000894,25-12-2024,Organic
CUST000896,05-05-2025,Organic
CUST000897,06-05-2025,Social
CUST000900,15-01-2025,Organic
CUST000901,17-12-2024,Referral
CUST000905,19-12-2024,Organic
CUST000906,19-12-2024,Organic
CUST000907,17-01-2025,Referral
CUST000908,27-12-2024,Referral
CUST000909,13-01-2025,Organic
CUST000910,25-12-2024,Organic
CUST000911,07-02-2025,Organic
CUST000912,01-02-2025,Paid
CUST000914,07-08-2025,Social
CUST000915,26-01-2025,Referral
CUST000917,02-04-2025,Organic
CUST000920,11-03-2025,Organic
CUST000921,20-03-2025,Referral
CUST000922,01-01-2025,Organic
CUST000923,28-12-2024,Organic
CUST000924,24-02-2025,Referral
CUST000926,28-01-2025,Referral
CUST000927,20-01-2025,Social
CUST000929,27-03-2025,Social
CUST000930,31-12-2024,Social
CUST000931,08-12-2024,Organic
CUST000935,08-12-2024,Social
CUST000936,31-03-2025,Referral
CUST000937,14-01-2025,Social
CUST000945,17-08-2025,Social
CUST000946,11-01-2025,Paid
CUST000949,19-04-2025,Organic
CUST000950,23-11-2024,Organic
CUST000951,08-04-2025,Organic
CUST000953,17-02-2025,Referral
CUST000954,01-01-2025,Paid
CUST000958,28-11-2024,Organic
CUST000960,07-09-2025,Paid
CUST000961,25-03-2025,Organic
CUST000962,02-05-2025,Organic
CUST000963,30-03-2025,Organic
CUST000964,16-01-2025,Organic
CUST000967,21-03-2025,Referral
CUST000968,14-07-2025,Paid
CUST000974,11-01-2025,Organic
CUST000975,20-05-2025,Paid
CUST000976,20-07-2025,Paid
CUST000979,31-03-2025,Social
CUST000980,10-12-2024,Organic
CUST000981,18-01-2025,Referral
CUST000982,23-05-2025,Organic
CUST000984,16-04-2025,Organic
CUST000986,01-02-2025,Organic
CUST000990,18-02-2025,Organic
CUST000991,17-03-2025,Referral
CUST000992,02-02-2025,Organic
CUST000993,11-04-2025,Referral
CUST000994,07-02-2025,Referral
CUST000998,01-12-2024,Paid
CUST001000,08-05-2025,Paid
CUST001005,23-05-2025,Organic
CUST001006,28-03-2025,Organic
CUST001007,16-06-2025,Paid
CUST001008,10-07-2025,Social
CUST001015,18-12-2024,Organic
CUST001016,11-01-2025,Social
CUST001017,11-03-2025,Organic
CUST001019,25-02-2025,Paid
CUST001020,03-02-2025,Social
CUST001021,16-01-2025,Referral
CUST001022,24-12-2024,Paid
CUST001024,11-02-2025,Organic
CUST001025,23-07-2025,Social
CUST001026,27-04-2025,Paid
CUST001029,11-12-2024,Organic
CUST001031,16-05-2025,Social
CUST001033,18-08-2025,Paid
CUST001035,15-02-2025,Paid
CUST001036,18-06-2025,Social
CUST001039,24-01-2025,Paid
CUST001046,14-04-2025,Organic
CUST001047,01-12-2024,Organic
CUST001048,03-03-2025,Organic
CUST001049,30-12-2024,Organic
CUST001051,11-03-2025,Referral
CUST001058,01-01-2025,Referral
CUST001061,13-12-2024,Organic
CUST001062,22-07-2025,Referral
CUST001063,17-01-2025,Organic
CUST001066,17-05-2025,Organic
CUST001067,15-04-2025,Referral
CUST001069,19-07-2025,Social
CUST001079,23-12-2024,Paid
CUST001080,16-06-2025,Social
CUST001084,15-05-2025,Organic
CUST001085,13-05-2025,Organic
CUST001086,06-12-2024,Paid
CUST001089,04-01-2025,Social
CUST001092,15-05-2025,Social
CUST001094,12-01-2025,Paid
CUST001098,20-07-2025,Paid
CUST001099,10-03-2025,Paid
CUST001100,12-04-2025,Paid
CUST001102,20-07-2025,Social
CUST001103,20-07-2025,Organic
CUST001104,18-04-2025,Organic
CUST001106,05-06-2025,Paid
CUST001107,23-02-2025,Referral
CUST001108,08-08-2025,Organic
CUST001109,23-01-2025,Organic
CUST001110,18-01-2025,Organic
CUST001113,23-02-2025,Referral
CUST001114,12-12-2024,Referral
CUST001115,23-02-2025,Social
CUST001118,02-04-2025,Organic
CUST001120,17-11-2024,Organic
CUST001122,17-12-2024,Organic
CUST001123,01-09-2025,Organic
CUST001124,22-04-2025,Organic
CUST001126,20-12-2024,Organic
CUST001127,25-02-2025,Organic
CUST001128,20-12-2024,Social
CUST001130,03-03-2025,Social
CUST001132,04-02-2025,Organic
CUST001134,03-07-2025,Paid
CUST001135,06-01-2025,Paid
CUST001136,04-01-2025,Organic
CUST001139,23-05-2025,Organic
CUST001141,26-04-2025,Organic
CUST001143,08-08-2025,Organic
CUST001147,17-03-2025,Organic
CUST001149,20-04-2025,Organic
CUST001154,23-02-2025,Organic
CUST001155,10-01-2025,Paid
CUST001158,30-08-2025,Paid
CUST001161,09-04-2025,Organic
CUST001163,06-01-2025,Organic
CUST001164,29-03-2025,Organic
CUST001166,30-01-2025,Paid
CUST001167,06-03-2025,Paid
CUST001168,25-12-2024,Organic
CUST001169,02-06-2025,Organic
CUST001173,05-03-2025,Referral
CUST001177,04-06-2025,Paid
CUST001178,08-04-2025,Social
CUST001179,17-01-2025,Organic
CUST001180,17-08-2025,Paid
CUST001182,02-12-2024,Organic
CUST001183,05-02-2025,Social
CUST001185,05-03-2025,Social
CUST001187,30-01-2025,Referral
CUST001191,15-05-2025,Organic
CUST001194,24-01-2025,Referral
CUST001195,10-12-2024,Organic
CUST001196,05-01-2025,Organic
CUST001199,27-01-2025,Organic
CUST001200,27-08-2025,Social
CUST001201,31-05-2025,Organic
CUST001202,31-12-2024,Organic
CUST001205,09-02-2025,Organic
CUST001206,13-03-2025,Referral
CUST001208,13-03-2025,Social
CUST001210,09-01-2025,Organic
CUST001211,03-01-2025,Organic
CUST001213,24-03-2025,Organic
CUST001214,21-02-2025,Organic
CUST001217,05-06-2025,Paid
CUST001221,04-02-2025,Organic
CUST001223,25-06-2025,Organic
CUST001225,21-04-2025,Organic
CUST001227,19-03-2025,Paid
CUST001228,29-12-2024,Paid
CUST001231,03-03-2025,Referral
CUST001235,21-12-2024,Organic
CUST001242,04-08-2025,Social
CUST001243,14-03-2025,Social
CUST001244,14-02-2025,Paid
CUST001245,26-01-2025,Social
CUST001246,28-03-2025,Social
CUST001247,10-04-2025,Organic
CUST001250,21-04-2025,Organic
CUST001251,26-02-2025,Referral
CUST001255,14-12-2024,Organic
CUST001256,12-03-2025,Social
CUST001258,04-03-2025,Referral
CUST001262,03-01-2025,Referral
CUST001266,13-04-2025,Organic
CUST001267,19-02-2025,Organic
CUST001269,01-12-2024,Referral
CUST001270,15-12-2024,Paid
CUST001271,15-12-2024,Organic
CUST001275,09-12-2024,Organic
CUST001279,25-12-2024,Social
CUST001284,27-03-2025,Organic
CUST001285,05-06-2025,Paid
CUST001286,28-04-2025,Organic
CUST001287,04-02-2025,Organic
CUST001291,29-12-2024,Organic
CUST001292,04-04-2025,Paid
CUST001299,17-03-2025,Organic
CUST001301,05-12-2024,Organic
CUST001302,25-01-2025,Organic
CUST001303,19-12-2024,Organic
CUST001305,08-11-2024,Organic
CUST001307,07-11-2024,Organic
CUST001308,28-12-2024,Organic
CUST001310,16-02-2025,Referral
CUST001311,28-04-2025,Organic
CUST001312,10-02-2025,Organic
CUST001313,18-07-2025,Social
CUST001314,18-07-2025,Referral
CUST001316,01-04-2025,Organic
CUST001319,06-01-2025,Referral
CUST001326,20-07-2025,Paid
CUST001327,16-02-2025,Paid
CUST001329,28-01-2025,Organic
CUST001330,07-03-2025,Organic
CUST001331,05-05-2025,Organic
CUST001333,26-01-2025,Organic
CUST001334,07-01-2025,Referral
CUST001335,31-01-2025,Organic
CUST001338,19-08-2025,Paid
CUST001339,10-04-2025,Organic
CUST001340,16-12-2024,Organic
CUST001341,22-11-2024,Paid
CUST001342,01-05-2025,Organic
CUST001343,27-05-2025,Organic
CUST001344,14-03-2025,Paid
CUST001346,17-03-2025,Paid
CUST001348,13-08-2025,Organic
CUST001353,21-04-2025,Social
CUST001354,03-04-2025,Social
CUST001355,10-01-2025,Organic
CUST001356,16-03-2025,Organic
CUST001357,31-05-2025,Paid
CUST001359,23-12-2024,Referral
CUST001360,22-12-2024,Paid
CUST001362,13-02-2025,Organic
CUST001363,24-02-2025,Organic
CUST001364,03-05-2025,Organic
CUST001369,11-02-2025,Paid
CUST001371,08-06-2025,Paid
CUST001372,13-03-2025,Referral
CUST001373,12-05-2025,Paid
CUST001377,20-07-2025,Referral
CUST001378,16-04-2025,Organic
CUST001379,02-12-2024,Organic
CUST001382,14-09-2025,Referral
CUST001383,01-01-2025,Organic
CUST001386,27-06-2025,Referral
CUST001388,28-11-2024,Referral
CUST001389,22-11-2024,Organic
CUST001390,12-12-2024,Referral
CUST001391,04-08-2025,Paid
CUST001395,06-02-2025,Organic
CUST001397,30-11-2024,Social
CUST001399,21-06-2025,Paid
CUST001400,18-03-2025,Social
CUST001401,31-12-2024,Social
CUST001402,04-03-2025,Organic
CUST001403,09-01-2025,Organic
CUST001404,27-01-2025,Organic
CUST001406,08-02-2025,Social
CUST001409,13-03-2025,Organic
CUST001410,31-12-2024,Organic
CUST001411,31-01-2025,Organic
CUST001416,29-04-2025,Organic
CUST001417,15-12-2024,Referral
CUST001418,28-12-2024,Organic
CUST001419,15-12-2024,Paid
CUST001420,02-02-2025,Organic
CUST001421,25-03-2025,Organic
CUST001422,07-03-2025,Paid
CUST001423,07-05-2025,Paid
CUST001429,10-03-2025,Social
CUST001430,18-02-2025,Social
CUST001431,14-03-2025,Referral
CUST001434,06-09-2025,Social
CUST001436,03-12-2024,Organic
CUST001438,04-08-2025,Paid
CUST001439,21-12-2024,Social
CUST001441,13-12-2024,Organic
CUST001452,25-01-2025,Organic
CUST001455,12-03-2025,Organic
CUST001456,22-01-2025,Paid
CUST001457,17-06-2025,Paid
CUST001458,30-05-2025,Referral
CUST001460,26-12-2024,Paid
CUST001462,22-04-2025,Paid
CUST001463,28-02-2025,Social
CUST001464,20-04-2025,Organic
CUST001465,12-02-2025,Organic
CUST001466,16-03-2025,Organic
CUST001470,07-03-2025,Organic
CUST001471,02-02-2025,Paid
CUST001473,15-02-2025,Social
CUST001474,10-05-2025,Organic
CUST001476,26-01-2025,Organic
CUST001477,28-01-2025,Organic
CUST001478,28-01-2025,Social
CUST001479,05-12-2024,Paid
CUST001483,21-01-2025,Organic
CUST001484,20-05-2025,Referral
CUST001488,13-05-2025,Organic
CUST001489,28-04-2025,Paid
CUST001490,12-08-2025,Paid
CUST001493,28-01-2025,Referral
CUST001495,28-01-2025,Social
CUST001498,02-02-2025,Organic
CUST001501,02-07-2025,Paid
CUST001502,01-03-2025,Organic
CUST001506,22-01-2025,Organic
CUST001507,22-12-2024,Organic
CUST001509,06-06-2025,Paid
CUST001510,16-05-2025,Paid
CUST001511,09-02-2025,Organic
CUST001512,24-11-2024,Referral
CUST001515,10-01-2025,Organic
CUST001516,31-03-2025,Referral
CUST001517,17-01-2025,Organic
CUST001519,07-03-2025,Organic
CUST001521,20-01-2025,Organic
CUST001525,06-02-2025,Referral
CUST001527,31-03-2025,Organic
CUST001528,05-01-2025,Organic
CUST001531,01-12-2024,Social
CUST001532,14-02-2025,Organic
CUST001533,19-03-2025,Social
CUST001534,25-01-2025,Social
CUST001535,18-08-2025,Paid
CUST001537,02-05-2025,Paid
CUST001539,30-11-2024,Organic
CUST001540,12-04-2025,Organic
CUST001541,05-02-2025,Organic
CUST001543,20-06-2025,Paid
CUST001544,10-12-2024,Organic
CUST001545,20-02-2025,Referral
CUST001548,16-01-2025,Organic
CUST001549,18-03-2025,Social
CUST001550,22-12-2024,Organic
CUST001551,22-02-2025,Organic
CUST001552,03-02-2025,Referral
CUST001553,04-02-2025,Social
CUST001554,04-06-2025,Social
CUST001555,27-12-2024,Organic
CUST001556,01-02-2025,Organic
CUST001558,16-02-2025,Paid
CUST001559,25-04-2025,Paid
CUST001560,20-12-2024,Organic
CUST001561,02-05-2025,Social
CUST001562,09-05-2025,Organic
CUST001563,25-03-2025,Organic
